,country,continent,gender,deaths
119,Nigeria,Africa,Girl,11.790000152587892
120,North Korea,Asia,Girl,1.7799999237060549
121,North Macedonia,Europe,Girl,1.0100000381469727
122,Norway,Europe,Girl,0.2400000095367431
123,Oman,Asia,Girl,1.0100000381469727
124,Pakistan,Asia,Girl,6.9
125,Palau,Oceania,Girl,1.7000000000000002
126,Palestine,Asia,Girl,1.7000000000000002
127,Panama,North America,Girl,1.4600000381469729
128,Papua New Guinea,Oceania,Girl,4.579999923706055
129,Paraguay,South America,Girl,1.9399999618530277
130,Peru,South America,Girl,1.35
131,Philippines,Asia,Girl,2.6
132,Poland,Europe,Girl,0.4300000190734863
133,Portugal,Europe,Girl,0.3299999952316284
134,Qatar,Asia,Girl,0.6800000190734864
135,Romania,Europe,Girl,0.7599999904632568
136,Russia,Europe,Girl,0.6699999809265137
137,Rwanda,Africa,Girl,4.209999847412109
138,Saint Kitts and Nevis,North America,Girl,1.4899999618530275
139,Saint Lucia,North America,Girl,2.039999961853028
140,Saint Vincent and the Grenadines,North America,Girl,1.4699999809265138
141,Samoa,Oceania,Girl,1.65
142,San Marino,Europe,Girl,0.1899999976158142
143,Sao Tome and Principe,Africa,Girl,1.8799999237060547
144,Saudi Arabia,Asia,Girl,0.8300000190734864
145,Senegal,Africa,Girl,4.209999847412109
146,Serbia,Europe,Girl,0.5400000095367432
147,Seychelles,Africa,Girl,1.3699999809265138
148,Sierra Leone,Africa,Girl,11.780000305175784
149,Singapore,Asia,Girl,0.25
150,Slovakia,Europe,Girl,0.55
151,Slovenia,Europe,Girl,0.2299999952316284
152,Solomon Islands,Oceania,Girl,1.9899999618530275
153,Somalia,Africa,Girl,12.36999969482422
154,South Africa,Africa,Girl,3.240000152587891
155,South Korea,Asia,Girl,0.3099999904632569
156,South Sudan,Africa,Girl,9.390000152587891
157,Spain,Europe,Girl,0.3
158,Sri Lanka,Asia,Girl,0.7400000095367432
159,Sudan,Africa,Girl,5.8500000000000005
160,Suriname,South America,Girl,1.7399999618530275
161,Sweden,Europe,Girl,0.2599999904632568
162,Switzerland,Europe,Girl,0.3900000095367432
163,Syria,Asia,Girl,3.740000152587891
164,Tajikistan,Asia,Girl,3.189999961853028
165,Tanzania,Africa,Girl,5.2
166,Thailand,Asia,Girl,0.9199999809265136
167,Togo,Africa,Girl,6.790000152587891
168,Tonga,Oceania,Girl,1.0800000190734864
169,Trinidad and Tobago,North America,Girl,1.6899999618530277
170,Tunisia,Africa,Girl,1.5600000381469727
171,Turkey,Asia,Girl,1.1399999618530274
172,Turkmenistan,Asia,Girl,3.65
173,Tuvalu,Oceania,Girl,2.2399999618530275
174,Uganda,Africa,Girl,4.709999847412109
175,Ukraine,Europe,Girl,0.8199999809265137
176,United Arab Emirates,Asia,Girl,0.6599999904632569
177,United Kingdom,Europe,Girl,0.4
178,United States,North America,Girl,0.6099999904632569
179,Uruguay,South America,Girl,0.75
180,Uzbekistan,Asia,Girl,1.5399999618530271
181,Vanuatu,Oceania,Girl,2.529999923706055
182,Venezuela,South America,Girl,2.2200000762939456
183,Vietnam,Asia,Girl,1.7799999237060549
184,Yemen,Asia,Girl,5.6200000762939455
185,Zambia,Africa,Girl,6.0
186,Zimbabwe,Africa,Girl,5.3500000000000005
187,Afghanistan,Asia,Boy,7.1000000000000005
188,Albania,Europe,Boy,1.0199999809265137
189,Algeria,Africa,Boy,2.620000076293945
190,Andorra,Europe,Boy,0.35
191,Angola,Africa,Boy,9.01999969482422
192,Antigua and Barbuda,North America,Boy,0.8
193,Argentina,South America,Boy,1.2000000000000002
