,country,mortality_rate,Continent
7766,Saint Kitts and Nevis,1.6600000381469728,North America
7827,Saint Lucia,2.2399999618530275,North America
7888,Saint Vincent and the Grenadines,1.6200000762939455,North America
7949,Samoa,1.8399999618530276,Oceania
7985,San Marino,0.2099999904632568,Europe
8041,Sao Tome and Principe,2.120000076293945,Africa
8090,Saudi Arabia,0.8600000381469727,Asia
8151,Senegal,4.65,Africa
8188,Serbia,0.6000000000000001,Europe
8249,Seychelles,1.4800000190734863,Africa
8310,Sierra Leone,12.540000152587892,Africa
8371,Singapore,0.2700000047683716,Asia
8411,Slovakia,0.6099999904632569,Europe
8451,Slovenia,0.25,Europe
8512,Solomon Islands,2.2,Oceania
8551,Somalia,13.030000305175784,Africa
8598,South Africa,3.5200000762939454,Africa
8659,South Korea,0.3400000095367432,Asia
8720,South Sudan,9.790000152587892,Africa
8767,Spain,0.3299999952316284,Europe
8828,Sri Lanka,0.8199999809265137,Asia
8889,Sudan,6.390000152587891,Africa
8927,Suriname,1.9799999237060548,South America
8988,Sweden,0.2799999952316284,Europe
9049,Switzerland,0.4199999809265137,Europe
9110,Syria,3.95,Asia
9159,Tajikistan,3.65,Asia
9220,Tanzania,5.6000000000000005,Africa
9281,Thailand,1.0300000190734864,Asia
9342,Togo,7.340000152587891,Africa
9400,Tonga,1.2300000190734863,Oceania
9461,Trinidad and Tobago,1.8799999237060547,North America
9520,Tunisia,1.7100000381469729,Africa
9581,Turkey,1.2100000381469729,Asia
9625,Turkmenistan,4.25,Asia
9686,Tuvalu,2.510000038146973,Oceania
9747,Uganda,5.240000152587891,Africa
9797,Ukraine,0.9199999809265136,Europe
9858,United Arab Emirates,0.7400000095367432,Asia
9919,United Kingdom,0.4400000095367432,Europe
9980,United States,0.6699999809265137,North America
10041,Uruguay,0.8399999618530274,South America
10083,Uzbekistan,1.8,Asia
10144,Vanuatu,2.760000038146973,Oceania
10205,Venezuela,2.4200000762939453,South America
10262,Vietnam,2.160000038146973,Asia
10323,Yemen,6.029999923706055,Asia
10384,Zambia,6.530000305175782,Africa
10445,Zimbabwe,5.8700000762939455,Africa
